Date,Clicks,Impressions,Avg. CPC,Cost
2023-01-24,9,"1,316",$2.12,$19.06
2023-01-25,7,"1,148",$1.59,$11.10
2023-01-26,14,"4,173",$2.25,$31.53
2023-01-27,7,"1,137",$2.34,$16.35
2023-01-28,12,"2,476",$1.37,$16.44
2023-01-29,16,"3,068",$0.68,$10.95
2023-01-30,9,"1,740",$1.66,$14.90
2023-01-31,14,"2,062",$1.79,$25.00
2023-02-01,13,"2,849",$1.94,$25.28
2023-02-02,11,646,$2.33,$25.66
2023-02-03,14,"2,980",$0.72,$10.04
2023-02-04,15,"3,193",$1.56,$23.46
2023-02-05,15,"1,998",$1.16,$17.46
2023-02-06,13,522,$2.30,$29.89
2023-02-07,14,"1,485",$1.68,$23.47
2023-02-08,11,"1,778",$1.41,$15.50
2023-02-09,13,"1,700",$1.13,$14.75
2023-02-10,9,412,$4.16,$37.45
2023-02-11,14,"1,226",$1.84,$25.79
2023-02-12,20,"2,501",$1.06,$21.25
2023-02-13,10,986,$2.64,$26.40
2023-02-14,8,324,$3.66,$29.28
2023-02-15,2,404,$10.76,$21.52
2023-02-16,9,890,$1.37,$12.35
2023-02-17,12,"1,720",$0.92,$11.01
2023-02-18,4,359,$3.51,$14.06
2023-02-19,10,834,$1.12,$11.20
2023-02-20,11,632,$1.71,$18.78
2023-02-21,13,609,$1.14,$14.85
2023-02-22,16,791,$1.28,$20.44
2023-02-23,15,"1,280",$1.64,$24.64
2023-02-24,9,673,$4.44,$39.95
2023-02-25,16,"1,700",$1.42,$22.67
2023-02-26,16,471,$1.67,$26.73
2023-02-27,11,"2,290",$1.67,$18.35
2023-02-28,6,323,$4.07,$24.45
2023-03-01,16,"1,333",$1.61,$25.80
2023-03-02,8,"1,584",$3.52,$28.15
2023-03-03,15,"1,747",$1.50,$22.50
2023-03-04,9,968,$1.91,$17.18
2023-03-05,13,"1,706",$2.34,$30.39
2023-03-06,2,91,$5.26,$10.53
2023-03-07,7,738,$2.19,$15.30
2023-03-08,7,638,$2.88,$20.14
2023-03-09,11,"1,386",$0.97,$10.65
2023-03-10,6,876,$3.15,$18.93
2023-03-11,9,578,$1.92,$17.31
2023-03-12,9,729,$2.03,$18.30
2023-03-13,13,"1,144",$1.19,$15.41
2023-03-14,7,477,$2.22,$15.51
2023-03-15,14,904,$1.37,$19.13
2023-03-16,10,"1,259",$2.95,$29.51
2023-03-17,12,440,$2.11,$25.26
2023-03-18,7,550,$3.88,$27.16
2023-03-19,8,575,$1.47,$11.79
2023-03-20,8,552,$3.76,$30.10
2023-03-21,8,"1,076",$0.94,$7.48
2023-03-22,10,515,$2.23,$22.27
